h12,h21,wasserstein,mape,sim_mean_wait_up,sim_mean_wait_down,obs_mean_wait_up,obs_mean_wait_down,n_sim_records,loss
2.0,0.0,5.996051226040303,0.4664597541639519,1.3202710532668485,50.25104202593701,15.808,51.09090909090909,493,6.4625109802042555
4.0,0.0,6.944858593859199,0.5220851601538999,0.1492099411626877,53.829852277895405,15.808,51.09090909090909,508,7.466943754013099
4.5,0.0,6.994071192284395,0.5186793482004574,0.1477102675995676,53.47699332703544,15.808,51.09090909090909,508,7.512750540484853
5.0,0.0,7.078716861575734,0.5153517439904179,0.14600002632917405,53.13144523804741,15.808,51.09090909090909,508,7.594068605566152
0.0,0.0,7.662721893491123,0.3468784281055685,10.324545808507173,,15.808,51.09090909090909,463,8.009600321596691
0.0,2.5,7.662721893491123,0.3468784281055685,10.324545808507173,,15.808,51.09090909090909,463,8.009600321596691
0.0,3.0,7.662721893491123,0.3468784281055685,10.324545808507173,,15.808,51.09090909090909,463,8.009600321596691
0.0,1.5,7.662721893491123,0.3468784281055685,10.324545808507173,,15.808,51.09090909090909,463,8.009600321596691
0.0,2.0,7.662721893491123,0.3468784281055685,10.324545808507173,,15.808,51.09090909090909,463,8.009600321596691
0.0,1.0,7.662721893491123,0.3468784281055685,10.324545808507173,,15.808,51.09090909090909,463,8.009600321596691
0.0,0.5,7.662721893491123,0.3468784281055685,10.324545808507173,,15.808,51.09090909090909,463,8.009600321596691
0.5,0.5,7.313039901275195,0.7122091308138079,23.995171748433066,97.40507716365403,15.808,51.09090909090909,561,8.025249032089002
1.0,1.0,8.213729165725642,0.8914949846429665,26.483493407300372,107.68266216915758,15.808,51.09090909090909,524,9.105224150368608
1.5,2.0,9.830943334078372,0.85801515027359,24.541374458730782,110.53849307119123,15.808,51.09090909090909,503,10.68895848435196
0.5,2.5,10.552354000514535,1.0903341043305672,30.691701359024915,114.39962243582967,15.808,51.09090909090909,575,11.642688104845103
4.0,2.5,13.21000902617591,1.4810369475955483,33.263728625384736,146.00964618895736,15.808,51.09090909090909,531,14.691045973771459
