time,class_0,class_1,total,scenario
2658.2108587439116,32,87,119,unstable_like
2658.21094059644,33,86,119,unstable_like
2658.228282854491,34,85,119,unstable_like
2658.232263939609,35,84,119,unstable_like
2658.238473209358,36,83,119,unstable_like
2658.2436202072936,37,82,119,unstable_like
2658.2448136368303,36,83,119,unstable_like
2658.2466455248546,37,82,119,unstable_like
2658.247085612024,36,83,119,unstable_like
2658.2556382240464,37,82,119,unstable_like
2658.257770655324,38,81,119,unstable_like
2658.263053485956,39,80,119,unstable_like
2658.2630805554136,40,79,119,unstable_like
2658.269043709129,39,80,119,unstable_like
2658.276573248019,40,79,119,unstable_like
2658.285341419828,39,80,119,unstable_like
2658.2907114383465,40,79,119,unstable_like
2658.292913543312,41,78,119,unstable_like
2658.318100067695,40,79,119,unstable_like
2658.340695253031,39,80,119,unstable_like
2658.3572390574805,38,81,119,unstable_like
2658.363621193568,39,80,119,unstable_like
2658.373563942188,38,81,119,unstable_like
2658.375537504547,37,82,119,unstable_like
2658.381400663807,36,83,119,unstable_like
2658.3828301575054,37,82,119,unstable_like
2658.385103901637,38,81,119,unstable_like
2658.402014988016,39,80,119,unstable_like
2658.4068913769493,38,81,119,unstable_like
2658.4160623375724,37,82,119,unstable_like
2658.4192280381158,36,83,119,unstable_like
2658.4299329077116,37,82,119,unstable_like
2658.4433278409065,38,81,119,unstable_like
2658.443570753652,37,82,119,unstable_like
2658.465509934103,38,81,119,unstable_like
2658.484693493021,37,82,119,unstable_like
2658.485162631663,36,83,119,unstable_like
2658.4966810272895,35,84,119,unstable_like
2658.5034228274394,36,83,119,unstable_like
2658.516342415615,35,84,119,unstable_like
2658.5188114621633,34,85,119,unstable_like
2658.521604718119,35,84,119,unstable_like
2658.523029154628,34,85,119,unstable_like
2658.529365441752,33,86,119,unstable_like
2658.5316213723454,34,85,119,unstable_like
2658.534416045378,35,84,119,unstable_like
2658.5591685177637,34,85,119,unstable_like
2658.56145701121,35,84,119,unstable_like
2658.5618187760606,34,85,119,unstable_like
2658.568796067276,33,86,119,unstable_like
2658.5792237729256,34,85,119,unstable_like
2658.595687283708,33,86,119,unstable_like
2658.595764954448,34,85,119,unstable_like
2658.6031113941617,35,84,119,unstable_like
2658.6031393843527,36,83,119,unstable_like
2658.603345443179,35,84,119,unstable_like
2658.6150398308655,34,85,119,unstable_like
2658.6191954730984,35,84,119,unstable_like
2658.6226233166394,34,85,119,unstable_like
2658.64343608864,33,86,119,unstable_like
2658.6439734314235,34,85,119,unstable_like
2658.6455904131003,35,84,119,unstable_like
2658.652969126712,34,85,119,unstable_like
2658.6561101366183,33,86,119,unstable_like
2658.66223188908,32,87,119,unstable_like
2658.6747324574785,31,88,119,unstable_like
2658.679641034899,30,89,119,unstable_like
2658.6814389752235,31,88,119,unstable_like
2658.684530338242,32,87,119,unstable_like
2658.6866782740303,31,88,119,unstable_like
2658.6894576782734,30,89,119,unstable_like
2658.703940194493,31,88,119,unstable_like
2658.7198420967234,30,89,119,unstable_like
2658.723512427026,31,88,119,unstable_like
2658.724681721087,32,87,119,unstable_like
2658.7518399323612,31,88,119,unstable_like
2658.76261268669,30,89,119,unstable_like
2658.77126678275,31,88,119,unstable_like
2658.7827906769057,30,89,119,unstable_like
2658.7920706925306,29,90,119,unstable_like
2658.796341064036,30,89,119,unstable_like
2658.8011968947976,31,88,119,unstable_like
2658.8014240152975,30,89,119,unstable_like
2658.809409371876,31,88,119,unstable_like
2658.812057637205,32,87,119,unstable_like
2658.814917716021,31,88,119,unstable_like
2658.821764313491,30,89,119,unstable_like
2658.8227143320705,29,90,119,unstable_like
2658.825141979553,28,91,119,unstable_like
2658.833132012145,29,90,119,unstable_like
2658.8417335732674,30,89,119,unstable_like
2658.846369934632,29,90,119,unstable_like
2658.8532390720334,30,89,119,unstable_like
2658.8556157874355,29,90,119,unstable_like
2658.8695969260593,30,89,119,unstable_like
2658.8796989600105,31,88,119,unstable_like
2658.88516165818,32,87,119,unstable_like
2658.885810713536,33,86,119,unstable_like
2658.8933008189238,34,85,119,unstable_like
2658.897661970315,33,86,119,unstable_like
2658.9045793958667,32,87,119,unstable_like
2658.912794743366,31,88,119,unstable_like
2658.915489367111,32,87,119,unstable_like
2658.921162560156,33,86,119,unstable_like
2658.9252887038247,32,87,119,unstable_like
2658.9260905279225,31,88,119,unstable_like
2658.9457245873587,32,87,119,unstable_like
2658.9502177915047,31,88,119,unstable_like
2658.9526324319872,30,89,119,unstable_like
2658.952825783178,29,90,119,unstable_like
2658.9541072364414,30,89,119,unstable_like
2658.956742891388,31,88,119,unstable_like
2658.9626417137365,32,87,119,unstable_like
2658.970829623013,31,88,119,unstable_like
2658.97845270195,32,87,119,unstable_like
2658.9788345347856,33,86,119,unstable_like
2658.993129092882,32,87,119,unstable_like
2659.0032846339473,33,86,119,unstable_like
2659.0045791955104,32,87,119,unstable_like
2659.016104353251,31,88,119,unstable_like
2659.0172090162814,30,89,119,unstable_like
2659.027769861945,31,88,119,unstable_like
2659.030071724699,32,87,119,unstable_like
2659.035105068724,33,86,119,unstable_like
2659.0438934834647,32,87,119,unstable_like
2659.054658672146,31,88,119,unstable_like
2659.083235093346,30,89,119,unstable_like
2659.0886626135507,29,90,119,unstable_like
2659.0979777057587,30,89,119,unstable_like
2659.099564077781,31,88,119,unstable_like
2659.1126179575886,30,89,119,unstable_like
2659.1146630128296,31,88,119,unstable_like
2659.1269288291132,32,87,119,unstable_like
2659.1459364938264,33,86,119,unstable_like
2659.1493343989064,32,87,119,unstable_like
2659.1509975103695,31,88,119,unstable_like
2659.1529071391883,32,87,119,unstable_like
2659.1624972440477,33,87,120,unstable_like
2659.1640243605398,34,86,120,unstable_like
2659.1730126263265,33,87,120,unstable_like
2659.178987521193,34,86,120,unstable_like
2659.1800461704743,33,87,120,unstable_like
2659.190701754023,32,88,120,unstable_like
2659.191327363802,33,87,120,unstable_like
2659.1955069299884,34,86,120,unstable_like
2659.2039663393853,35,85,120,unstable_like
2659.235677067142,34,86,120,unstable_like
2659.2599540215247,33,87,120,unstable_like
2659.263282780554,34,86,120,unstable_like
2659.263845945431,35,85,120,unstable_like
2659.2646350907917,34,86,120,unstable_like
2659.2738289239905,33,87,120,unstable_like
2659.282595872291,34,86,120,unstable_like
2659.2901963379018,33,87,120,unstable_like
2659.2946958819753,32,88,120,unstable_like
2659.2948007023806,33,87,120,unstable_like
2659.3073229939637,32,88,120,unstable_like
2659.309230161184,33,87,120,unstable_like
2659.3107290576017,34,86,120,unstable_like
2659.3110926064014,35,85,120,unstable_like
2659.3140354072134,36,84,120,unstable_like
2659.322798744614,37,83,120,unstable_like
2659.325408341959,36,84,120,unstable_like
2659.3287928704463,35,85,120,unstable_like
2659.3404175061746,34,86,120,unstable_like
2659.3612687315035,35,85,120,unstable_like
2659.376028294661,34,86,120,unstable_like
2659.3812888218463,35,85,120,unstable_like
2659.38190818157,36,84,120,unstable_like
2659.381969426108,37,83,120,unstable_like
2659.391307063815,38,82,120,unstable_like
2659.3942334429066,39,81,120,unstable_like
2659.3964174766415,38,82,120,unstable_like
2659.401199443178,37,83,120,unstable_like
2659.4026121016773,36,84,120,unstable_like
2659.4088453877193,37,83,120,unstable_like
2659.4112309121742,36,84,120,unstable_like
2659.4154230738086,35,85,120,unstable_like
