bound,W_1,W_2,W,Var_W,L_1,L_2,L,h12,h21,heatmap_bound,arrival_rate1,arrival_rate2,service_rate1,service_rate2,num_servers,CV_W
16,1.7156359544141426,2.408195463058793,1.9464891239623594,5.728989123631528,1.331705575165801,0.6147442031739713,1.9464497783397716,0.2,0.6000000000000001,16,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,1.2296655820509639
16,1.7555515237749137,2.343762957921641,1.9516220018238228,5.431593137793561,1.4278865509758538,0.5235848377119556,1.9514713886878081,0.2,0.8,16,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,1.1941748211135768
16,1.783122758012539,2.2978332073377197,1.9546929077875992,5.240564870250514,1.497008137649395,0.4574024021046276,1.9544105397540237,0.2,1.0,16,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,1.1711445815165595
16,1.8033576820307249,2.2634509153667635,1.9567220931427376,5.109713567577921,1.5490242537595345,0.4072823752771907,1.9563066290367257,0.2,1.2000000000000002,16,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,1.1552317843211475
16,1.818870899906962,2.2367373970895748,1.9581597323011661,5.015421810451571,1.5895801007357453,0.36803785803014194,1.9576179587658864,0.2,1.4000000000000001,16,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,1.1436828708382012
16,1.8311612104079025,2.2153727172911646,1.959231712702323,4.9447075597135575,1.6220928863837334,0.3364804486566881,1.9585733350404224,0.2,1.6,16,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,1.1349703182733186
16,1.8411504320428618,2.1978872180480242,1.9600626940445824,4.889955975138543,1.6487463197649341,0.3105516709732579,1.959297990738193,0.2,1.8,16,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,1.1281906905737118
16,1.8494373670083677,2.1833053402502656,1.9607266914223336,4.8464497863614415,1.670999391587787,0.2888661182821504,1.959865509869937,0.2,2.0,16,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,1.1227803355465236
16,1.8564283254079126,2.1709541573277185,1.9612702693811812,4.811130560313944,1.6898634820709746,0.27045815858161504,1.960321640652591,0.2,2.2,16,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,1.1183715903980975
16,1.8624089884994401,2.1603544118540254,1.961724129617635,4.781938126102172,1.706061660960441,0.25463450469186105,1.9606961656523039,0.2,2.4000000000000004,16,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,1.1147155056587839
16,1.8675862505202867,2.151155442188836,1.962109314409803,4.757439084889183,1.720124578365112,0.24088465175543883,1.9610092301205506,0.2,2.6,16,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,1.1116380882504573
16,1.8721137351791999,2.1430946956538306,1.9624407220040765,4.736608110340699,1.7324505041153087,0.22882440402976714,1.961274908145077,0.2,2.8000000000000003,16,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,1.1090143863402613
16,1.8761079744741327,2.1359716389252044,1.9627291959578232,4.718694008477119,1.7433442160769055,0.21815909194081276,1.9615033080177178,0.2,3.0,16,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,1.106752534306798
16,1.3427896257816063,2.731987074260471,1.8058554419412278,6.423810921058801,0.5739518605631951,1.2278087537808577,1.8017606143440503,0.4,0.0,16,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,1.4035031524211465
16,1.5485244452001217,2.5892950089745916,1.8954479664582782,7.367264124962075,0.8286181834936335,1.0648890476895971,1.8935072311832326,0.4,0.2,16,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,1.4319941813746597
16,1.654875207252593,2.470209249275698,1.9266532212602945,6.808835029944449,1.0323439582929756,0.8940575944651433,1.9264015527581204,0.4,0.4,16,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,1.35435605279226
16,1.7162942467327231,2.389989547280418,1.9408593469152877,6.36455051769802,1.177832767166007,0.7631099746607836,1.9409427418267915,0.4,0.6000000000000001,16,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,1.2998397251668419
16,1.7557404184411003,2.333774220088592,1.9484183523235974,6.059822126856712,1.2838945823319743,0.6647380533796513,1.9486326357116266,0.4,0.8,16,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,1.2634199394625991
16,1.783124050403794,2.2924306500021525,1.95289291693658,5.8460572236532915,1.3639447836471388,0.5892461414281381,1.9531909250752773,0.4,1.0,16,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,1.2380925228635236
16,1.8032354469523981,2.260796826363279,1.9557559067560248,5.6904505102065865,1.4262938624815498,0.5298158204956671,1.9561096829772167,0.4,1.2000000000000002,16,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,1.2197158705324496
16,1.8186373137871943,2.235820070629403,1.957698232734597,5.573184936687108,1.4761523806834451,0.48193421495711397,1.9580865956405584,0.4,1.4000000000000001,16,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,1.2058852374851228
16,1.8308171224171972,2.2155974269158243,1.9590772239167393,5.482146723532573,1.5169022299835915,0.44258218351425227,1.9594844134978453,0.4,1.6,16,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,1.1951537316069738
16,1.8406956510186354,2.1988858083010396,1.9600923701127702,5.409679854028027,1.5508184220465133,0.4096885994901205,1.9605070215366354,0.4,1.8,16,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,1.1866133880305962
16,1.84887293032702,2.1848402675827154,1.960862042745585,5.350769082862369,1.5794820096350866,0.3817941298433019,1.9612761394783895,0.4,2.0,16,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,1.1796714386847675
16,1.8557566322489658,2.172866892449805,1.9614600523159123,5.30201750391822,1.6040236608681193,0.35784437713066275,1.9618680379987827,0.4,2.2,16,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,1.1739270530059605
16,1.8616334475656737,2.1625361726907513,1.9619343559406994,5.261054662584745,1.625272378586833,0.33706007174604524,1.962332450332878,0.4,2.4000000000000004,16,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,1.169100738328089
16,1.8667108997767419,2.153529834940747,1.962317211498077,5.2261822770258775,1.6438493576880013,0.3188535487947142,1.9627029064827166,0.4,2.6,16,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,1.1649923226388073
16,1.8711429415698129,2.145607022004592,1.9626309683814058,5.196155114161308,1.6602290382567664,0.302773625600808,1.9630026638575748,0.4,2.8000000000000003,16,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,1.1614550488793884
16,1.8750462212744505,2.138582092614786,1.9628915117212289,5.170041270760144,1.6747799158358676,0.2884683386892057,1.9632482545250756,0.4,3.0,16,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,1.158379086166737
16,1.362807820035494,2.6555769803795664,1.793730873483518,6.200278255790401,0.5324124840547148,1.2570693425270485,1.7894818265817596,0.6000000000000001,0.0,16,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,1.3881880670551048
16,1.5538983021093737,2.540866784748075,1.882887796322274,7.422792289883397,0.7469113617337078,1.1323801456751248,1.8792915074088303,0.6000000000000001,0.2,16,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,1.4469689550372706
16,1.6546747983211718,2.4430951860123935,1.9174815942182457,7.079242631253898,0.92929841818241,0.9871206026755351,1.916419020857945,0.6000000000000001,0.4,16,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,1.387593302091684
16,1.7147351034683034,2.374002846601415,1.934491017846007,6.706339558157296,1.0690101335257112,0.8652544030939401,1.934264536619652,0.6000000000000001,0.6000000000000001,16,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,1.3386777711408533
16,1.7540858505791936,2.3241405090203187,1.9441040700595686,6.4265730336071805,1.17627053605684,0.7679091178282794,1.94417965388512,0.6000000000000001,0.8,16,0.6666666666666666,0.3333333333333333,1.5,1.6666666667,1,1.303977849639914
