bound,W_1,W_2,W,Var_W,L_1,L_2,L,h12,h21,heatmap_bound,arrival_rate1,arrival_rate2,service_rate1,service_rate2,num_servers,CV_W
16,1.8089730530212322,2.00063388770728,1.8728599979165814,3.872219297411702,1.7134595795318468,0.1537654061928339,1.8672249857246817,0.0,2.0,16,0.6666666666666666,0.3333333333333333,1.5,2.5,1,1.0506901448974195
16,1.8168879591897145,1.993849839795765,1.8758752527250644,3.865758063193793,1.7253319387845714,0.1448306034193671,1.8701625422039376,0.0,2.2,16,0.6666666666666666,0.3333333333333333,1.5,2.5,1,1.0481257269106277
16,1.823688625523998,1.988073197307912,1.8784834827853025,3.8606866367224515,1.735532938285999,0.13717139822515742,1.872704336511156,0.0,2.4000000000000004,16,0.6666666666666666,0.3333333333333333,1.5,2.5,1,1.0459836485758995
16,1.8295997812398697,1.9830970437567523,1.8807655354121637,3.8566337285468237,1.7443996718598067,0.13052921188338187,1.8749288837431881,0.0,2.6,16,0.6666666666666666,0.3333333333333333,1.5,2.5,1,1.0441659808594455
16,1.8347888192650095,1.978767272634698,1.8827816370549055,3.853344440949471,1.7521832288975123,0.1247114588221445,1.8768946877196557,0.0,2.8000000000000003,16,0.6666666666666666,0.3333333333333333,1.5,2.5,1,1.0426029794784992
16,1.8393831144501211,1.9749667867561018,1.884577671885448,3.8506390020036196,1.7590746716751844,0.11957165961947104,1.8786463312946535,0.0,3.0,16,0.6666666666666666,0.3333333333333333,1.5,2.5,1,1.041243639007947
16,1.2137467304717449,1.845331774347139,1.4242750784302094,3.565468864719956,0.6415102987520647,0.781944132290266,1.4234544310423307,0.2,0.0,16,0.6666666666666666,0.3333333333333333,1.5,2.5,1,1.3257585877228162
16,1.4381625047325857,2.057528289963562,1.6446177664762445,5.513418294810262,0.9045052322203296,0.7398539882038305,1.6443592204241597,0.2,0.2,16,0.6666666666666666,0.3333333333333333,1.5,2.5,1,1.42772805639423
16,1.5676282234872116,2.0760527266736735,1.737103057882699,5.449776500040992,1.1158058849274801,0.621303389287963,1.7371092742154437,0.2,0.4,16,0.6666666666666666,0.3333333333333333,1.5,2.5,1,1.3438901200879139
16,1.6408662565682093,2.062249305950853,1.7813272730290903,5.239383236306919,1.2561017618381218,0.5251890388923875,1.7812908007305102,0.2,0.6000000000000001,16,0.6666666666666666,0.3333333333333333,1.5,2.5,1,1.2849799932384398
16,1.6875255194314494,2.045694039738658,1.8069150262005187,5.079125448978524,1.3530563831243978,0.45371964941455045,1.806776032538949,0.2,0.8,16,0.6666666666666666,0.3333333333333333,1.5,2.5,1,1.2472592696678997
16,1.7199082070503513,2.0310855335947986,1.8236339825651668,4.965158616406562,1.4235936210969928,0.3997779554522363,1.8233715765492273,0.2,1.0,16,0.6666666666666666,0.3333333333333333,1.5,2.5,1,1.2218809306220468
16,1.7437635907866147,2.0188783559919883,1.8354685125217391,4.882651677234509,1.4771309044226149,0.3579492594623927,1.83508016388501,0.2,1.2000000000000002,16,0.6666666666666666,0.3333333333333333,1.5,2.5,1,1.2038737171441232
16,1.7621135146320193,2.0087512045752294,1.8443260779464226,4.821114720791641,1.5191471736898514,0.3246701904171832,1.8438173641070348,0.2,1.4000000000000001,16,0.6666666666666666,0.3333333333333333,1.5,2.5,1,1.1905181639474898
16,1.7766963043675978,2.000301110256352,1.851231239663849,4.773879701742901,1.5530107047826254,0.2976001207357109,1.8506108255183353,0.2,1.6,16,0.6666666666666666,0.3333333333333333,1.5,2.5,1,1.180252869624492
16,1.7885835342310725,1.9931830877325234,1.8567833853982227,4.736695544238515,1.5808968620139348,0.27516383720245385,1.8560606992163864,0.2,1.8,16,0.6666666666666666,0.3333333333333333,1.5,2.5,1,1.1721319229334897
16,1.798472517869831,1.9871256813104812,1.861356905683381,4.706782392686912,1.6042705392790215,0.25627057183020724,1.8605411111092294,0.2,2.0,16,0.6666666666666666,0.3333333333333333,1.5,2.5,1,1.1655540162960483
16,1.8068371428751675,1.9819198790548946,1.8651980549350764,4.682268282281223,1.6241535107519476,0.24014412358601883,1.8642976343379658,0.2,2.2,16,0.6666666666666666,0.3333333333333333,1.5,2.5,1,1.1601207458760499
16,1.814011090510658,1.977404943154821,1.8684757080587122,4.661856448468835,1.6412799944192846,0.22621833696607987,1.867498331385364,0.2,2.4000000000000004,16,0.6666666666666666,0.3333333333333333,1.5,2.5,1,1.155558648119863
16,1.8202363602211387,1.9734564471341498,1.8713097225254756,4.64462506568873,1.656191143773022,0.21407110260370105,1.870262246376721,0.2,2.6,16,0.6666666666666666,0.3333333333333333,1.5,2.5,1,1.151674250359912
16,1.8256928946794913,1.9699771506458863,1.8737876466682895,4.629903475670901,1.6692946310377297,0.20338153813078574,1.8726761691685128,0.2,2.8000000000000003,16,0.6666666666666666,0.3333333333333333,1.5,2.5,1,1.148327054836765
16,1.8305173815258058,1.9668902592342212,1.8759750074286108,4.617193564114032,1.6809034622625352,0.1939014809796164,1.8748049432421523,0.2,3.0,16,0.6666666666666666,0.3333333333333333,1.5,2.5,1,1.145412695941981
16,1.201946780934299,1.7047127666484643,1.3695354428390205,3.123311604746502,0.5737204760206502,0.7951212344056838,1.3688417104263335,0.4,0.0,16,0.6666666666666666,0.3333333333333333,1.5,2.5,1,1.2904297931046316
