bound,W_1,W_2,W,Var_W,L_1,L_2,L,h12,h21,CV_W
12,1.7605196291901557,1.937464104566367,1.819501120982226,4.973090094032464,1.4223549332625278,0.3975536839730414,1.8199086172355674,0.6,2.1,1.2256341014888819
12,1.7711883900704637,1.931984896573916,1.8247872255716144,4.9005305294724835,1.4600360090688465,0.36501512068876113,1.8250511297576093,0.6,2.4,1.2131355164291642
12,1.779628841349168,1.9271422363177018,1.828799973005346,4.840772050585038,1.4911306939810143,0.3377740084760064,1.8289047024570197,0.6,2.6999999999999997,1.2030705881024377
12,1.7864733732507692,1.922874669493523,1.8319404719983536,4.7908355416843005,1.5172245200991816,0.31465688780217044,1.831881407901352,0.6,3.0,1.194797414177329
12,1.1768092064512101,1.545953927891,1.29985744693114,2.6322394818844206,0.49235650094776123,0.8039364890843553,1.296292990032117,0.8999999999999999,0.0,1.248150551258651
12,1.4197767303228574,1.8044420528532568,1.5479985044996571,5.245569518670235,0.6885127017440184,0.8459700708299844,1.5344827725740013,0.8999999999999999,0.3,1.479536851277825
12,1.5612123377059814,1.8938952444279857,1.6721066399466495,5.768272955218764,0.8752598838601262,0.7901712398983565,1.6654311237584827,0.8999999999999999,0.6,1.4363455395347662
12,1.6389515369824852,1.9225995849720616,1.7335008863123438,5.7346665435402455,1.0190543332088486,0.7123083916904622,1.7313627248993118,0.8999999999999999,0.8999999999999999,1.3814336061285435
12,1.6860798761824802,1.9315326644021058,1.7678974722556886,5.622198417081245,1.1275103513085991,0.6402143401893371,1.767724691497936,0.8999999999999999,1.2,1.341207611436045
12,1.7169993974106246,1.9330299630765937,1.7890095859659474,5.506507263428414,1.2109199981759597,0.5787939807924471,1.7897139789684062,0.8999999999999999,1.5,1.3116725820973605
12,1.7385421738252353,1.9315215161159855,1.8028686212554852,5.4021432643163685,1.2766788182895992,0.527347304273541,1.804026122563141,0.8999999999999999,1.7999999999999998,1.2891960576763095
12,1.7542780279780843,1.9288181293560758,1.812458061770748,5.311498491184565,1.3297168869857554,0.4841622532857523,1.813879140271509,0.8999999999999999,2.1,1.2715708544811584
12,1.766213397204509,1.9257130230526878,1.8193799391539018,5.233622615912179,1.373343143504439,0.4476193135784242,1.8209624570828642,0.8999999999999999,2.4,1.2574125769652151
12,1.775545129739887,1.9225637985488322,1.8245513526762018,5.166719769551175,1.409832721108251,0.41639936748103545,1.8262320885892867,0.8999999999999999,2.6999999999999997,1.2458087082855438
12,1.7830241350354517,1.919530134939788,1.8285261350035638,5.1089785469408335,1.440791763349507,0.3894710854956077,1.8302628488451145,0.8999999999999999,3.0,1.2361348981651004
12,1.165049189458629,1.4971461387663856,1.2757481725612143,2.4738517446554944,0.46511035821276947,0.8073777132414427,1.2724880714542126,1.2,0.0,1.2328830440379537
12,1.3926990146174547,1.7422342471843046,1.5092107588064045,4.981652647790872,0.6312968120650114,0.8625594956955308,1.4938563077605427,1.2,0.3,1.478893256819622
12,1.5364196516473683,1.847651436639638,1.6401635799781247,5.772227684722639,0.7967964674705043,0.8324304170961252,1.6292268845666305,1.2,0.6,1.4648210173155658
12,1.619213205304521,1.8897718772983143,1.709399429302452,5.8623006858523485,0.9325488668377081,0.7714484619366522,1.703997328774361,1.2,0.8999999999999999,1.4164149124700705
