h12,h21,L_1,L_2,L,W_1,W_2,W,U
0.6,2.1,2.3916483067098775,0.9493662077547628,3.341014514464644,1.5070223968083287,1.790999343459765,1.649010870134047,3.5378266310009163
0.6,2.4,2.4640396373235562,0.8679418400886699,3.3319814774122256,1.5159488210415226,1.7734201724182825,1.6446844967299026,3.399987724755249
0.6,2.6999999999999997,2.5230248874623,0.8000397775597345,3.3230646650220335,1.5227781704063004,1.7586432436020027,1.6407107070041516,3.2913877284850064
0.6,3.0,2.572014026144437,0.7426220160648899,3.314636042209329,1.5281652777932349,1.746081861882896,1.6371235698380655,3.203789293833207
0.8999999999999999,0.0,0.4833556910612518,1.6350466013803713,2.1184022924416257,0.7551137815698268,1.4123535727774348,1.0837336771736308,1.9867079136383763
0.8999999999999999,0.3,0.8440842932233528,1.8398559836052486,2.683940276828601,1.0960180823727104,1.7809094866355777,1.438463784504144,5.880195133908536
0.8999999999999999,0.6,1.2669630234829823,1.8214502151884995,3.088413238671482,1.324053192963328,1.9046683613406064,1.6143607771519672,6.459001107223701
0.8999999999999999,0.8999999999999999,1.6017367592313458,1.6796722823558998,3.281409041587245,1.425211495595124,1.907337587852086,1.6662745417236051,5.65886193726123
0.8999999999999999,1.2,1.8427472147254125,1.5170394314681226,3.359786646193534,1.4740790538806057,1.8832630180340202,1.678671035957313,5.016505206814806
0.8999999999999999,1.5,2.0185768157382875,1.3688654421134077,3.3874422578516943,1.5012333691100588,1.8565362082944243,1.6788847887022416,4.581309648361495
0.8999999999999999,1.7999999999999998,2.1515229602754236,1.242088477449902,3.393611437725326,1.5178156493064148,1.8321813872526054,1.67499851827951,4.271779273191066
0.8999999999999999,2.1,2.2554588530545616,1.1351736058862565,3.390632458940818,1.5286020349392944,1.8109491452148874,1.6697755900770908,4.039823648533002
0.8999999999999999,2.4,2.3389550191039805,1.0448388193276985,3.3837938384316795,1.5359607796280266,1.7926267073328788,1.6642937434804526,3.859458932884135
0.8999999999999999,2.6999999999999997,2.4075133198823018,0.9679463890149094,3.3754597088972114,1.5411767922344808,1.7768047669088256,1.6589907795716532,3.7153718054295455
0.8999999999999999,3.0,2.4648185907949887,0.9019076816182868,3.3667262724132763,1.5449916615642092,1.7630771909621386,1.6540344262631739,3.5977947320269252
1.2,0.0,0.46012750877119696,1.6322961114324568,2.0924236202036535,0.7611116282968029,1.378563464263549,1.069837546280176,1.8999692606739618
1.2,0.3,0.7644245357398398,1.838692912354703,2.6031174480945416,1.081618519393953,1.718617793101858,1.4001181562479055,5.545487567883156
1.2,0.6,1.128730618066633,1.869193707976246,2.9979243260428796,1.3190557591084822,1.873899772445038,1.59647776577676,6.901637466223804
1.2,0.8999999999999999,1.4438271293082496,1.7798429970247933,3.223670126333043,1.4349683368277542,1.9037088201082892,1.6693385784680217,6.379256285933022
1.2,1.2,1.6881633058715655,1.6502261609444093,3.338389466815972,1.4906384813127462,1.8923212277271866,1.6914798545199665,5.676558254883856
1.2,1.5,1.8742479724862882,1.517706139477303,3.3919541119635923,1.520131267348935,1.870999616421999,1.695565441885467,5.150087106803435
1.2,1.7999999999999998,2.018158786345199,1.395932336401621,3.4140911227468207,1.5373259004333522,1.8490326081676518,1.693179254300502,4.774038985188547
