scenario,bound,num_servers,h12,h21,L_1,L_2,L,W_1,W_2,W,U,Q_boundary,P_hit_boundary
B_equal,16,1,0.4,2.2,1.426232021064618,0.5670346687539759,1.9932666898185918,0.8615837913086297,1.1312106024924133,0.9963971969005215,1.3136125123757099,0.002988181820223894,0.0007680572679815835
B_equal,16,1,0.4,2.4000000000000004,1.4554323624306384,0.5373006604574103,1.9927330228880487,0.8681951100998692,1.1240787701105117,0.9961369401051905,1.2973816833347467,0.0032521331007851198,0.0008156082663871784
B_equal,16,1,0.4,2.6,1.4812953983264394,0.5109466721032359,1.992242070429674,0.8740036743465219,1.117796817333161,0.9959002458398414,1.2835882622249453,0.0034970928338616575,0.00085766032482343
B_equal,16,1,0.4,2.8000000000000003,1.5043624867718124,0.4874270798257997,1.991789566597612,0.8791490361113663,1.112219622595115,0.9956843293532407,1.2717452355427352,0.0037245947440370385,0.0008949781691876187
B_equal,16,1,0.4,3.0,1.5250644667678614,0.46630713262608536,1.9913715993939467,0.883740021027491,1.1072334707547788,0.995486745891135,1.2614831429039088,0.003936142908501419,0.0009282153531463327
B_equal,16,1,0.6000000000000001,0.0,0.4187069894062941,1.5674103724670014,1.9861173618732926,0.5708521250921762,1.422437537742663,0.9966448314174197,1.7696788352385475,0.006685310430328511,0.001017956621937338
B_equal,16,1,0.6000000000000001,0.2,0.5722103459120448,1.423098277248456,1.9953086231605002,0.6450918260135163,1.355007504968048,1.0000496654907822,1.943451979952948,0.0020250270046258327,0.00042762265869334017
B_equal,16,1,0.6000000000000001,0.4,0.7223300118409728,1.2761904223238303,1.998520434164805,0.6994611707063377,1.3006060247784936,1.0000335977424157,1.8756209119957148,0.0005683226440702193,0.00017315587155537833
B_equal,16,1,0.6000000000000001,0.6000000000000001,0.8516876284284767,1.147566631998692,1.999254260427168,0.7391629305003006,1.26050961874828,0.9998362746242904,1.7728116356673906,0.00026032940712760236,0.00010937200967952158
B_equal,16,1,0.6000000000000001,0.8,0.9593399882891814,1.039791117049774,1.9991311053389564,0.7688346235905502,1.2303014179566136,0.999568020773582,1.6832404617578964,0.0003094004743091379,0.00013657742754957588
B_equal,16,1,0.6000000000000001,1.0,1.0487113624815572,0.9499770048217576,1.9986883673033151,0.7916595104040338,1.2068247274188746,0.9992421189114542,1.6113320656659795,0.0004918264388957171,0.0002033881318681576
B_equal,16,1,0.6000000000000001,1.2000000000000002,1.123475171435873,0.8746506390485963,1.9981258104844692,0.8097011069493067,1.188074938371785,0.9988880226605459,1.5542428394816712,0.0007301266424213026,0.0002835216625511988
B_equal,16,1,0.6000000000000001,1.4000000000000001,1.1866727721074712,0.810851597248156,1.9975243693556273,0.8243008492560944,1.1727558124844149,0.9985283308702546,1.5085968379080734,0.0009918561031368618,0.0003651412940248045
B_equal,16,1,0.6000000000000001,1.6,1.2406671719433513,0.7562534277632509,1.996920599706602,0.8363525715415788,1.1600010414781567,0.9981768065098677,1.47164948715823,0.0012609007625413028,0.0004432624202139025
B_equal,16,1,0.6000000000000001,1.8,1.2872672945008419,0.7090650090154679,1.9963323035163103,0.8464694143106333,1.1492122211664009,0.9978408177385171,1.4413406605155068,0.0015284029228414778,0.0005159401329154733
B_equal,16,1,0.6000000000000001,2.0,1.327860324948285,0.6679078826012323,1.9957682075495173,0.8550839729535497,1.1399635387305647,0.9975237558420571,1.4161527264327836,0.0017893420941654458,0.0005826001248713864
B_equal,16,1,0.6000000000000001,2.2,1.3635186818173786,0.6317135511274318,1.9952322329448124,0.8625093975419565,1.1319440087787058,0.9972267031603312,1.394966302716798,0.0020409336467296143,0.0006432999211975753
B_equal,16,1,0.6000000000000001,2.4000000000000004,1.3950801614050725,0.5996454822831747,1.9947256436882446,0.868977626289855,1.124921299281135,0.996949462785495,1.3769483148460426,0.0022817515785820636,0.0006983827341612559
B_equal,16,1,0.6000000000000001,2.6,1.4232065801013667,0.5710416406915858,1.9942482207929517,0.8746639694945172,1.1187183642839467,0.996691166889232,1.3614713238430707,0.002511206654849131,0.0007483071822200862
B_equal,16,1,0.6000000000000001,2.8000000000000003,1.4484265095992845,0.5453724242484074,1.993798933847693,0.8797033388651028,1.1131979181733198,0.9964506285192113,1.3480566724234735,0.0027292236175823483,0.0007935617135958071
B_equal,16,1,0.6000000000000001,3.0,1.4711665574035633,0.5222097765868643,1.993376333990428,0.8842012274425167,1.1082518558991468,0.9962265416708318,1.3363345234367177,0.00293603777165828,0.0008346221262075314
B_equal,16,1,0.8,0.0,0.4042583646402578,1.5815329487575882,1.985791313397845,0.5827942381245641,1.4103857517389966,0.9965899949317804,1.7540836719609305,0.006857501078096458,0.0010436526396439896
B_equal,16,1,0.8,0.2,0.5432688808980468,1.4509251045379477,1.9941939854359931,0.6547811795292187,1.3453692534829784,1.0000752165060987,1.9442051795995727,0.0025505839769113473,0.000522178768301166
B_equal,16,1,0.8,0.4,0.6792244357937276,1.3184983993358985,1.9977228351296252,0.7060930539303181,1.2942519872757192,1.0001725206030185,1.9076047288309677,0.0009108831709097894,0.00025809201124417434
B_equal,16,1,0.8,0.6000000000000001,0.7991754591894862,1.1997946454887667,1.9989701046782564,0.7436737722484018,1.2563358255309194,1.0000047988896605,1.8221207696610133,0.0003768060219091281,0.00014626256979775076
B_equal,16,1,0.8,0.8,0.9015533877222767,1.0977304222523443,1.9992838099746193,0.7720397172391532,1.2275978196654391,0.9998187684522961,1.7416734565416054,0.00024788189563617377,0.00012092489560958165
B_equal,16,1,0.8,1.0,0.98841570747056,1.0107557900351212,1.9991714975056833,0.7940495873356972,1.2051388776399001,0.9995942324877987,1.6744760121082467,0.00029310347637088893,0.00014751984792039702
B_equal,16,1,0.8,1.2000000000000002,1.0624035126255962,0.9364529001449444,1.9988564127705408,0.8115594744802405,1.1871096486433583,0.9993345615617995,1.6196200877949658,0.000422262144303853,0.00020173911033504534
B_equal,16,1,0.8,1.4000000000000001,1.125888244514623,0.8725565000538439,1.9984447445684659,0.8257944730501197,1.1723101043542372,0.9990522887021784,1.5747616001374065,0.0005945701475260455,0.00026811550319660594
B_equal,16,1,0.8,1.6,1.1808107789184925,0.8171782907929895,1.9979890697114817,0.8375835856130395,1.1599356281451254,0.9987596068790825,1.5377548470647566,0.0007895226556349516,0.0003381075264803322
B_equal,16,1,0.8,1.8,1.22871475597341,0.7688022505988474,1.9975170065722572,0.8475029755091139,1.1494286062304284,0.9984657908697712,1.506900329132063,0.0009956844160230725,0.0004073527022676928
B_equal,16,1,0.8,2.0,1.270820135153864,0.7262238041203392,1.9970439392742019,0.8559633908405809,1.140390823192405,0.9981771070164929,1.4808985194548234,0.0012061335868441758,0.0004737252053623546
B_equal,16,1,0.8,2.2,1.3080935877263995,0.6884851577390559,1.996578745465456,0.8632645689969184,1.132530327913487,0.9978974484552028,1.458761537808295,0.0014164794855804565,0.0005362623229340733
B_equal,16,1,0.8,2.4000000000000004,1.3413060174471771,0.6548205510507229,1.9961265684979006,0.8696299057930718,1.1256281532822272,0.9976290295376495,1.4397352832730639,0.0016238906015882907,0.0005946119062388388
B_equal,16,1,0.8,2.6,1.3710771428122255,0.6246131465232176,1.9956902893354438,0.8752290851238882,1.1195167972468063,0.9973729411853473,1.4232394108523887,0.0018265529897467834,0.0006487462604728861
B_equal,16,1,0.8,2.8000000000000003,1.397909408554916,0.5973619651330555,1.9952713736879708,0.8801931984481348,1.114065897479002,0.9971295479635685,1.4088229222876993,0.002023337581097969,0.0006988089052325283
